Optimized vs Binary Merkle Tree Modes

Blocks, Binary Time, Optimized Time
636100,  0.325152,  0.144574
637100,  0.324965,  0.144526
638100,  0.325613,  0.144884
639100,  0.326920,  0.144471
640100,  0.325958,  0.144985
641100,  0.325095,  0.144445
642100,  0.326270,  0.144581
643100,  0.326026,  0.144708
644100,  0.326352,  0.144507
645100,  0.325298,  0.144554
646100,  0.325461,  0.144453
647100,  0.326629,  0.144609
648100,  0.326252,  0.144557
649100,  0.325459,  0.144795
650100,  0.326324,  0.144488
651100,  0.324504,  0.144556
652100,  0.326696,  0.143916
653100,  0.325225,  0.144485
654100,  0.325271,  0.144580
655100,  0.325125,  0.144533
656100,  0.324374,  0.144545
657100,  0.325565,  0.144500
658100,  0.327610,  0.144581
659100,  0.325507,  0.144543
660100,  0.325718,  0.144777
661100,  0.326281,  0.144802
662100,  0.325928,  0.144871
663100,  0.325219,  0.144638
664100,  0.325347,  0.144729
665100,  0.325800,  0.144673
666100,  0.325875,  0.144493
667100,  0.324315,  0.144713
668100,  0.325575,  0.144407
669100,  0.325876,  0.144307
670100,  0.325907,  0.144900
671100,  0.324441,  0.144281
672100,  0.325472,  0.144754
673100,  0.324942,  0.143548
674100,  0.326380,  0.144172
675100,  0.324953,  0.144214
676100,  0.325349,  0.144375
677100,  0.324964,  0.144457
678100,  0.326174,  0.144662
679100,  0.324711,  0.144834
680100,  0.326180,  0.144791
681100,  0.326228,  0.145129
682100,  0.327235,  0.143670
683100,  0.325188,  0.144754
684100,  0.325910,  0.144755
685100,  0.325393,  0.144773
686100,  0.325656,  0.144608
687100,  0.326983,  0.144531
688100,  0.326533,  0.145082
689100,  0.324467,  0.144458
690100,  0.324919,  0.144348
691100,  0.326187,  0.144648
692100,  0.325552,  0.144407
693100,  0.326468,  0.144403
694100,  0.326569,  0.144523
695100,  0.325817,  0.144549
696100,  0.326425,  0.144133
697100,  0.325991,  0.144563
698100,  0.325731,  0.144585
699100,  0.324949,  0.144997
700100,  0.325031,  0.145170
701100,  0.328410,  0.146805
702100,  0.330293,  0.146992
703100,  0.330397,  0.146594
704100,  0.330775,  0.146999
705100,  0.330788,  0.146936
706100,  0.330754,  0.146917
707100,  0.329857,  0.146703
708100,  0.330859,  0.147008
709100,  0.331327,  0.220077
710100,  0.331263,  0.219573
711100,  0.331282,  0.219509
712100,  0.331263,  0.219900
713100,  0.332385,  0.220064
714100,  0.330756,  0.219687
715100,  0.330631,  0.219715
716100,  0.330936,  0.220472
717100,  0.331481,  0.220146
718100,  0.330480,  0.218714
719100,  0.330258,  0.220180
720100,  0.330870,  0.220272
721100,  0.332248,  0.220181
722100,  0.331517,  0.220569
723100,  0.331550,  0.219299
724100,  0.331571,  0.219153
725100,  0.331240,  0.220063
726100,  0.331153,  0.219886
727100,  0.331263,  0.220052
728100,  0.330032,  0.219927
729100,  0.331800,  0.220188
730100,  0.331401,  0.220084
731100,  0.331956,  0.220576
732100,  0.330667,  0.219769
733100,  0.330772,  0.220059
734100,  0.331707,  0.219737
735100,  0.329719,  0.219964
736100,  0.331443,  0.219920
737100,  0.330443,  0.219473
